URL,NAME,MOTTO,CITY,CATEGORY,LOGO_LINK,COMPANY_WEBSITE,OTHER_DATA
http://www.swedishlifesciences.se/3h-biomedical-ab,3H Biomedical AB,Cell based tools for drug discovery,Uppsala,Suppliers (Manufactures),http://www.swedishlifesciences.se/sites/default/files/styles/logo_table_index/public/company_profiles/916/logo/571_logo_high.jpg?itok=fcb9KaYj,http://www.3hbiomedical.com
http://www.swedishlifesciences.se/hiveandfive,@hiveandfive,,Borås,Business Development,,http://www.hiveandfive.se
http://www.swedishlifesciences.se/a-science-ab,A+ Science AB,To Earn Trust - Make Difference,Stockholm,CROs,http://www.swedishlifesciences.se/sites/default/files/styles/logo_table_index/public/company_profiles/722/logo/188_logo_high.jpg?itok=e3dsUxdR,,"A+ Science is a Contract Research Organization (CRO) with long experience of services in clinical trials for pharmaceuticals (Phase I-IV), medical devices as well as non-interventional and registry trials. 

Our core expertise is in the Nordic countries, however through our close collaboration with other CROs, we are also able to cover many other countries. Our services include Clinical Trial Management, Pharmacovigilance (Pre-and Post-Marketing), Outsourcing of Consultants (short and long term solutions), City Site (Site Management Organization), Continuing Medical Education, Regulatory Services and many others. 

Since December 2013, A+ Science is a CRO run by its employees.",08-564 882 30,http://www.a-plusscience.com,tania.persson@a-plusscience.com,https://www.facebook.com/#!/groups/222121887912067/,"Luntmakargatan 22
11137 Stockholm","(u'Category', u'Contract Research Organisations')","(u'Founded', u'1997')","(u'Public company', u'Yes')","(u'Revenue', u'26 MSEK in Sweden')","(u'Number of employees', u'25')","(u'Chairman', u'H\xe5kan Gartell')","(u' city_site_presentation_2014.pdf', u'http://www.swedishlifesciences.se/sites/default/files/city_site_presentation_2014.pdf')","(u' company_presentation_ascience_2015.pdf', u'http://www.swedishlifesciences.se/sites/default/files/company_presentation_ascience_2015.pdf')"
http://www.swedishlifesciences.se/a-filter-ab,A-Filter AB,,Västra Frölunda,Suppliers (Distributors),,http://www.a-filter.se
http://www.swedishlifesciences.se/a-menarini-diagnostics,A. Menarini Diagnostics,,Malmö,Medtech,,http://www.menarinidiagnostics.se
http://www.swedishlifesciences.se/ab-carlsson-och-moller,AB Carlsson och Möller,,Helsingborg,Medtech,http://www.swedishlifesciences.se/sites/default/files/styles/logo_table_index/public/company_profiles/1197/logo/c_m_logo.jpg?itok=SAjlenM3,,"Carlsson & Möller, founded in 1948, is one of the leading companies in engineering plastics. The business comprises three main areas: Wholesaling, Mechanical processing of components and Materials and Application expertise.

C & M MedTech is a department within the company focused on engineering plastics for medical applications. 
C & M MedTech has extensive experience in engineering plastics in medical and biotechnical applications and offers specialist technical support and advisory services - from concept development and material selection, to prototyping and serial production.

Carlsson & Möller is part of Indutrade AB - a group with 170 companies in 25 countries and 4000 employees.",042-253800,http://www.c-m.se/,"Garnisonsgatan 45
25023 Helsingborg","(u'Category', u'Medtech')","(u'Founded', u'1948')","(u'Public company', u'No')","(u'Revenue', u'90 MSEK in Sweden')","(u'Number of employees', u'61')","(u'Chairman', u'G\xf6te Mattson')","(u'Principal owners', u'Indutrade AB')","(u' folder_cm_medtech.pdf', u'http://www.swedishlifesciences.se/sites/default/files/folder_cm_medtech_0.pdf')"
http://www.swedishlifesciences.se/abbott-scandinavia-ab,Abbott Scandinavia AB,,Solna,Pharma,http://www.swedishlifesciences.se/sites/default/files/styles/logo_table_index/public/company_profiles/942/logo/633_logo_low.jpg?itok=KCvu4UZH,http://www.abbott.com
http://www.swedishlifesciences.se/abigo-medical-ab,Abigo Medical AB,Fast-growing Swedish pharmaceutical company,Askim,Pharma,http://www.swedishlifesciences.se/sites/default/files/styles/logo_table_index/public/company_profiles/604/logo/abigojpg.jpg?itok=16dabGe4,,"ABIGO Medical AB is a globally expanding, integrated pharmaceutical company fully owned by the two brothers Jan. G and Leif Smith. A focus area and a research priority for ABIGO is infection control. In addition to the pharmaceutical products, ABIGO Medical has an advanced wound care product line. The Sorbact®-method is a unique Swedish invention for the effective management of wounds and dermal fungal infections. The Sorbact® wound management product line offers effective wound healing, including the prevention and management of infections. In addition, no known side effects or risk of microorganism resistance development has ever been demonstrated, a truly unique combination. Sorbact® is successfully sold in 65 countries.",031-7484950,http://www.abigo.com,Jan.g.smith@abigo.se,"Ekonomivägen 5
43633 Askim","(u'Category', u'Pharma')","(u'Founded', u'1989')","(u'Public company', u'No')","(u'Number of employees', u'115')","(u'Chairman', u'Jan G. Smith')","(u'Principal owners', u'Jan G. Smith, Leif Smith')"
http://www.swedishlifesciences.se/absorber-ab,AbSorber AB,,Stockholm,Medtech,http://www.swedishlifesciences.se/sites/default/files/styles/logo_table_index/public/company_profiles/605/logo/4_logo_high.jpg?itok=x9UVYWQ5,http://www.absorber.se
http://www.swedishlifesciences.se/accelerator-nordic-ab,Accelerator Nordic AB,,Stockholm,Business Development,http://www.swedishlifesciences.se/sites/default/files/styles/logo_table_index/public/company_profiles/742/logo/optoq_ab-logo_low.jpg?itok=-swHyJ-R,http://www.acceleratorab.se
http://www.swedishlifesciences.se/acreo-swedish-ict-ab,Acreo Swedish ICT AB,Innovation for Sustainable Growth,Kista,Biotech,http://www.swedishlifesciences.se/sites/default/files/styles/logo_table_index/public/company_profiles/606/logo/ict_acreo_logo_web.jpg?itok=wcfbo0Qw,,"Acreo Swedish ICT offers a Multi-disciplinary Innovation environment to take Life Science research concepts to manufacturable prototypes. Our Life Science focus is upon diagnostics and detection, research tools and eHealth-solutions. As your R&D-partner - we can assist in any stage of bringing new ideas to the market. We have the technology competence, we have the laboratories and test environments, we know prototyping, licensing and patents. And we have strong national and international networks – academic as well as business network. Acreo is part of Swedish ICT and RISE.",+46 (0)10 522 00 30,http://www.acreo.se,info@acreo.se,https://www.facebook.com/acreoswedishict,https://twitter.com/AcreoSwedishICT,"Box 1070
Isafjordsgatan 22
164 25 Kista","(u'Category', u'Biotech')","(u'Looking for capital', u'Yes')","(u'Founded', u'1999')","(u'Public company', u'Yes')","(u'Revenue', u'187 MSEK in Sweden')","(u'Number of employees', u'137')","(u'Chairman', u'Hans Hentzell')","(u'Principal owners', u'Swedish ICT Research AB')"
http://www.swedishlifesciences.se/active-biotech-ab,Active Biotech AB,Development of pharmaceuticals,Lund,Biotech,http://www.swedishlifesciences.se/sites/default/files/styles/logo_table_index/public/company_profiles/607/logo/active_biotech_ab-logo_low.jpg?itok=bPTEyPp2,,"Active Biotech AB (publ) (Nasdaq Stockholm: ACTI) is a biotechnology company with focus on neurodegenerative diseases and cancer. Projects in pivotal phase are laquinimod, an orally administered small molecule with unique immunomodulatory properties for the treatment of multiple sclerosis, and tasquinimod, an oral immunomodulatory, anti-metastatic substance for the treatment of prostate cancer. The objective of the preclinical ISI project is to produce new, patentable chemical compounds for treatment of diseases in the company’s focus areas. Please visit www.activebiotech.com for more information.",046-192000,http://www.activebiotech.com,cecilia.hofvander@activebiotech.com,"P.O. Box 724
Scheelevägen 22
22007 Lund","(u'Category', u'Biotech')","(u'Founded', u'1997')","(u'Public company', u'Yes')","(u'Revenue', u'10.4 MSEK in Sweden')","(u'Number of employees', u'56')","(u'Chairman', u'Mats Arnh\xf6g')","(u'Principal owners', u'MGA Holding AB, Nordstjernan AB, Investor')"
http://www.swedishlifesciences.se/acure-pharma-ab,Acure Pharma AB,,Uppsala,Biotech,,http://www.acurepharma.com
